category,series_name,tile_type,color,surface,size_cm,size_inches,sku_code,application,suitable_for,unnamed:_10,embedding_text,page_number,image_path
Concrete,Basic Concrete,Porcelain Tiles,Beige,Matt,80x80,"31.49""x31.49""",A05GZBSC-BEE.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_BEIGE.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Beige,Matt,60x60,"23.62""x23.62""",A06GZBSC-BE0.M2R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_BEIGE.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Beige,Matt,60x60,"23.62""x23.62""",A06GBCCS-BEE.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Beige color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_BEIGE.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Grey,Matt,80x80,"31.49""x31.49""",A05GZBSC-GRY.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Grey,Matt,60x60,"23.62""x23.62""",A06GZBSC-GY0.M2R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Grey,Matt,60x60,"23.62""x23.62""",A06GBCCS-GRY.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Dark Grey,Matt,120x120,"47.24""x47.24""",A22GZBSC-DKG.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 120x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_DARK_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Dark Grey,Matt,80x80,"31.49""x31.49""",A05GZBSC-DKG.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_DARK_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Dark Grey,Matt,60x60,"23.62""x23.62""",A06GZBSC-DGY.M2R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_DARK_GREY.jpeg
Concrete,Basic Concrete,Porcelain Tiles,Dark Grey,Matt,60x60,"23.62""x23.62""",A06GBCCS-DKG.M6X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Dark Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",1,./extracted_images/BASIC_CONCRETE_DARK_GREY.jpeg
